Date,Treatment,Round,Replicate,Resource,Culling,Live_XL,Live_L,Live_M,Live_S,Live_XS,Live_Beginning,Cull_Number,Cull_XL,Cull_L,Cull_M,Cull_S,Cull_XS,Cull_Total,Live_End
7/27/21,RP,1,1,Y,Size,0,0,4,12,24,40,8,0,0,4,4,0,8,32
7/27/21,RP,1,2,Y,Size,0,0,5,15,34,54,10.8,0,0,5,6,0,11,43
7/27/21,RP,1,3,Y,Size,0,0,14,18,33,65,13,0,0,13,0,0,13,52
7/27/21,RP,1,4,Y,Size,0,0,8,19,56,83,16.6,0,0,8,9,0,17,66
7/27/21,RP,1,5,Y,Size,0,0,2,19,31,52,10.4,0,0,2,8,0,10,42
7/27/21,RP,1,6,Y,Size,0,0,7,11,54,72,14.4,0,0,7,7,0,14,58
7/27/21,RP,1,7,Y,Size,0,0,12,29,48,89,17.8,0,0,12,6,0,18,71
7/27/21,RP,1,8,Y,Size,0,0,5,38,58,101,20.2,0,0,5,15,0,20,81
7/27/21,RP,1,9,Y,Size,0,0,6,15,46,67,13.4,0,6,6,7,0,19,48
7/27/21,RP,1,10,Y,Size,0,0,6,19,61,86,17.2,0,6,6,13,0,25,61
7/27/21,C,1,1,N,Size,0,1,5,14,36,56,11.2,0,1,5,5,0,11,45
7/27/21,C,1,2,N,Size,0,0,5,8,30,43,8.6,0,0,5,4,0,9,34
7/27/21,C,1,3,N,Size,0,1,5,18,45,69,13.8,0,1,5,8,0,14,55
7/27/21,C,1,4,N,Size,0,0,8,31,58,97,19.4,0,0,8,11,0,19,78
7/27/21,C,1,5,N,Size,0,0,4,12,36,52,10.4,0,0,4,6,0,10,42
7/27/21,C,1,6,N,Size,0,2,4,19,76,101,20.2,0,2,4,14,0,20,81
7/27/21,C,1,7,N,Size,0,0,6,9,89,104,20.8,0,0,6,9,6,21,83
7/27/21,C,1,8,N,Size,0,0,6,14,58,78,15.6,0,0,6,10,0,16,62
7/27/21,C,1,9,N,Size,0,0,6,13,84,103,20.6,0,0,6,13,1,20,83
7/27/21,C,1,10,N,Size,0,0,8,12,87,107,21.4,0,0,8,12,1,21,86
7/28/21,MME,1,1,Y,Uniform,0,0,7,23,81,111,22.2,0,0,1,5,16,22,89
7/28/21,MME,1,2,Y,Uniform,0,1,6,20,78,105,21,0,0,1,4,16,21,84
7/28/21,MME,1,3,Y,Uniform,0,0,6,13,83,102,20.4,0,0,1,3,17,20,82
7/28/21,MME,1,4,Y,Uniform,0,0,5,24,61,90,18,0,0,1,5,12,18,72
7/28/21,MME,1,5,Y,Uniform,0,1,5,18,64,88,17.6,0,0,1,4,13,18,70
7/28/21,MME,1,6,Y,Uniform,0,0,3,18,60,81,16.2,0,0,1,4,12,16,65
7/28/21,MME,1,7,Y,Uniform,0,0,5,6,75,86,17.2,0,0,1,1,15,17,69
7/28/21,MME,1,8,Y,Uniform,0,0,3,12,31,46,9.2,0,0,1,2,6,9,37
7/28/21,MME,1,9,Y,Uniform,0,0,8,12,37,57,11.4,0,0,2,2,7,11,46
7/28/21,MME,1,10,Y,Uniform,0,0,7,7,44,58,11.6,0,0,1,1,9,12,46
